Date,Activity,Distance (miles),Pace/Mile,Time,Heart Rate Avg
2023-09-06,Run,4.03,9:04,0:36:33,N/A
2023-09-04,Run,5.01,9:01,0:45:13,N/A
2023-08-31,Run,4.09,9:30,0:38:50,N/A
2023-08-29,Run,4.09,9:44,0:39:48,N/A
2023-08-27,Run,9.18,9:57,1:31:29,N/A
2023-08-26,Run,6.25,9:13,0:57:40,N/A
2023-08-25,Run,3.35,9:11,0:30:47,N/A
2023-08-23,Run,3.5,8:20,0:29:11,N/A
2023-08-20,Run,4.12,8:50,0:36:25,N/A
2023-08-19,Run,6.13,9:31,0:58:24,N/A
2023-08-16,Run,2.4,7:58,0:19:07,N/A
2023-08-13,Run,6.01,9:10,0:55:08,N/A
2023-08-12,Run,6.01,9:49,0:59:03,N/A
2023-08-11,Run,4.02,9:16,0:37:17,N/A
2023-08-09,Run,4.01,8:38,0:34:38,N/A
2023-08-06,Run,4.01,10:01,0:40:16,N/A
2023-08-05,Run,6.01,9:49,0:59:04,N/A
2023-07-27,Run,4.18,9:01,0:37:43,N/A
2023-07-25,Run,2.01,7:57,0:15:59,N/A
2023-07-23,Run,8.01,10:06,1:20:54,N/A
2023-07-22,Run,4.11,9:33,0:39:17,N/A
2023-07-20,Run,4.64,9:26,0:43:47,N/A
2023-07-18,Run,2.87,9:38,0:27:41,N/A
2023-07-13,Run,2.71,9:23,0:25:24,N/A
2023-07-11,Run,4.23,9:15,0:39:14,N/A
2023-07-09,Run,9.02,9:22,1:24:32,N/A
2023-07-08,Run,4.31,9:08,0:39:24,N/A
2023-07-06,Run,4.0,9:26,0:37:46,N/A
2023-07-04,Run,2.17,8:51,0:19:15,N/A
2023-06-28,Run,5.0,8:40,0:43:27,N/A
2023-06-25,Run,4.1,9:07,0:37:27,N/A
2023-06-24,Run,7.55,10:04,1:16:03,N/A
2023-06-23,Run,1.83,8:05,0:14:48,N/A
2023-06-21,Run,4.22,8:39,0:36:34,N/A
2023-06-18,Run,5.55,10:00,0:55:33,N/A
2023-06-14,Run,4.36,8:48,0:38:24,N/A
2023-06-11,Run,5.25,9:20,0:49:06,N/A
2023-06-09,Run,4.45,9:52,0:43:59,N/A
2023-06-04,Run,6.65,8:44,0:58:08,N/A
2023-06-03,Run,4.01,9:30,0:38:08,N/A
2023-06-03,Run,3.02,8:21,0:25:16,N/A
2023-05-31,Run,4.06,8:49,0:35:50,N/A
2023-05-28,Run,4.69,8:59,0:42:11,N/A
2023-05-27,Run,6.87,8:57,1:01:30,N/A
2023-05-24,Run,2.64,8:49,0:23:17,N/A
2023-05-21,Run,9.33,9:37,1:29:43,N/A
2023-05-20,Run,4.43,8:22,0:37:05,N/A
2023-05-17,Run,3.5,9:06,0:31:52,N/A
2023-05-14,Run,5.65,8:33,0:48:20,N/A
2023-05-13,Run,5.01,8:58,0:44:57,N/A
2023-05-10,Run,5.02,9:10,0:46:03,N/A
2023-05-07,Run,8.59,9:10,1:18:49,N/A
2023-05-06,Run,4.25,8:28,0:35:59,N/A
2023-05-04,Run,4.03,8:39,0:34:56,N/A
2023-05-02,Run,2.01,9:31,0:19:12,N/A
2023-05-01,Run,3.05,9:07,0:27:53,N/A
2023-04-29,Run,8.02,8:55,1:11:37,N/A
2023-04-28,Run,4.0,8:30,0:34:05,N/A
2023-04-23,Run,13.47,8:43,1:57:35,N/A
2023-04-22,Run,2.05,8:14,0:16:53,N/A
2023-04-20,Run,3.21,8:10,0:26:16,N/A
2023-04-18,Run,1.8,8:53,0:16:02,N/A
2023-04-16,Run,9.0,8:41,1:18:16,N/A
2023-04-15,Run,3.01,7:46,0:23:22,N/A
2023-04-14,Run,1.84,8:10,0:15:03,N/A
2023-04-13,Run,1.97,8:44,0:17:12,N/A
2023-04-11,Run,1.09,9:10,0:10:01,N/A
2023-04-09,Run,11.01,8:51,1:37:36,N/A
2023-04-08,Run,2.18,7:54,0:17:14,N/A
2023-04-07,Run,5.02,8:31,0:42:45,N/A
2023-04-05,Run,2.22,8:29,0:18:53,N/A
2023-04-02,Run,8.01,8:33,1:08:35,N/A
2023-04-01,Run,5.0,8:54,0:44:34,N/A
2023-03-31,Run,3.99,8:29,0:33:51,N/A
2023-03-28,Run,2.23,8:29,0:18:54,N/A
2023-03-26,Run,1.5,9:04,0:13:38,N/A
2023-03-26,Run,2.39,8:13,0:19:40,N/A
2023-03-25,Run,2.64,8:08,0:21:31,N/A
2023-03-24,Run,1.93,7:42,0:14:55,N/A
2023-03-22,Run,2.89,7:57,0:23:01,N/A
2023-03-18,Run,2.24,8:37,0:19:17,N/A
2023-03-12,Run,7.72,8:52,1:08:26,N/A
2023-03-09,Run,4.05,8:53,0:36:00,N/A
2023-03-08,Run,4.03,8:46,0:35:21,N/A
2023-03-06,Run,4.02,8:06,0:32:35,N/A
2023-03-04,Run,13.2,9:30,2:05:31,N/A
2023-03-02,Run,4.22,9:28,0:39:58,N/A
2023-03-01,Run,4.01,8:56,0:35:49,N/A
2023-02-27,Run,4.18,8:23,0:35:04,N/A
2023-02-25,Run,11.02,9:10,1:41:12,N/A
2023-02-24,Run,1.99,9:26,0:18:50,N/A
2023-02-22,Run,4.13,9:28,0:39:04,N/A
2023-02-21,Run,3.94,8:41,0:34:14,N/A
2023-02-19,Run,13.2,8:50,1:56:48,N/A
2023-02-18,Run,4.0,8:13,0:32:55,N/A
2023-02-17,Run,4.17,8:16,0:34:31,N/A
2023-02-16,Run,3.86,8:45,0:33:48,N/A
2023-02-15,Run,4.21,8:01,0:33:44,N/A
2023-02-14,Run,4.06,8:10,0:33:11,N/A
2023-02-11,Run,7.01,8:47,1:01:34,N/A
2023-02-11,Run,2.27,8:01,0:18:13,N/A
2023-02-09,Run,4.03,8:51,0:35:41,N/A
2023-02-08,Run,2.23,8:16,0:18:28,N/A
2023-02-07,Run,4.17,8:18,0:34:38,N/A
2023-02-05,Run,4.79,9:40,0:46:21,N/A
2023-02-04,Run,6.17,8:56,0:55:14,N/A
2023-02-02,Run,4.03,9:05,0:36:38,N/A
2023-02-01,Run,1.97,10:04,0:19:50,N/A
2023-01-31,Run,4.17,8:30,0:35:33,N/A
2023-01-30,Run,1.8,10:19,0:18:38,N/A
2023-01-29,Run,4.01,8:34,0:34:26,N/A
2023-01-23,Run,3.01,10:14,0:30:48,N/A
2023-01-22,Walk,0.55,25:15,0:13:48,N/A
2023-01-22,Walk,3.05,32:08,1:37:54,N/A
2023-01-21,Walk,2.17,15:08,0:32:52,N/A
2023-01-15,Run,1.94,8:06,0:15:41,N/A
2023-01-14,Run,1.98,9:55,0:19:38,N/A
2023-01-14,Run,3.17,8:33,0:27:08,N/A
2023-01-12,Run,2.8,8:39,0:24:15,N/A
2023-01-11,Run,3.12,8:18,0:25:55,N/A
2023-01-10,Run,3.01,8:14,0:24:50,N/A
2023-01-08,Run,1.44,7:58,0:11:30,N/A
